,treat,species,seedlings,treeid
1574,far,psycho,1,m6.psycho
1576,far,psycho,0,m6.psycho
1577,far,psycho,0,m6.psycho
1578,far,psycho,1,m5.psycho
1579,far,psycho,0,m5.psycho
1580,far,psycho,0,m6.psycho
1581,far,psycho,0,m6.psycho
1582,far,psycho,0,m7.psycho
1583,far,psycho,0,m7.psycho
1584,far,psycho,0,m5.psycho
1587,far,psycho,0,m5.psycho
1588,far,psycho,1,m5.psycho
1589,far,psycho,1,m6.psycho
1590,far,psycho,1,m6.psycho
1591,far,psycho,0,m6.psycho
1592,far,psycho,1,m5.psycho
1593,far,psycho,0,m11.psycho
1594,far,psycho,0,m9.psycho
1595,far,psycho,0,r1.psycho
1596,far,psycho,0,m12.psycho
1597,far,psycho,0,m13.psycho
1598,far,psycho,0,m12.psycho
1599,far,psycho,0,m9.psycho
1602,far,psycho,0,r1.psycho
1603,far,psycho,0,r1.psycho
1605,far,psycho,0,m12.psycho
1606,far,psycho,0,r1.psycho
1608,far,psycho,0,m12.psycho
1609,far,psycho,0,m13.psycho
1611,far,psycho,0,m8.psycho
1612,far,psycho,0,r1.psycho
1613,far,psycho,0,m12.psycho
1615,far,psycho,1,m12.psycho
1616,far,psycho,0,m9.psycho
1617,far,psycho,1,m9.psycho
1618,far,psycho,0,m8.psycho
1620,far,psycho,0,r1.psycho
1621,far,psycho,0,m8.psycho
1623,far,psycho,0,m9.psycho
1624,far,psycho,0,r1.psycho
1625,far,psycho,0,m13.psycho
1626,far,psycho,0,r1.psycho
1627,far,psycho,0,r1.psycho
1628,far,psycho,1,m9.psycho
1629,far,psycho,0,m8.psycho
1630,far,psycho,0,m12.psycho
1631,far,psycho,0,m10.psycho
1635,near,psycho,0,m4.psycho
1637,near,psycho,0,m2.psycho
1638,near,psycho,0,m2.psycho
1640,near,psycho,0,m2.psycho
1642,near,psycho,1,m1.psycho
1643,near,psycho,0,m1.psycho
1644,near,psycho,0,m1.psycho
1645,near,psycho,0,m1.psycho
1647,near,psycho,0,m1.psycho
1648,near,psycho,0,m3.psycho
1649,near,psycho,1,m1.psycho
1650,near,psycho,0,m1.psycho
1651,near,psycho,1,m1.psycho
1652,near,psycho,1,m1.psycho
1653,near,psycho,0,m4.psycho
1654,near,psycho,0,m1.psycho
1655,near,psycho,0,m4.psycho
1656,near,psycho,0,m1.psycho
1657,near,psycho,0,m1.psycho
1663,near,psycho,0,m6.psycho
1664,near,psycho,0,m5.psycho
1665,near,psycho,0,m6.psycho
1666,near,psycho,0,m6.psycho
1667,near,psycho,0,m7.psycho
1669,near,psycho,0,m7.psycho
1670,near,psycho,0,m6.psycho
1673,near,psycho,1,m5.psycho
1674,near,psycho,0,m5.psycho
1675,near,psycho,0,m5.psycho
1676,near,psycho,0,m6.psycho
1677,near,psycho,0,m6.psycho
1678,near,psycho,1,m6.psycho
1679,near,psycho,0,m7.psycho
1680,near,psycho,0,m7.psycho
1681,near,psycho,0,m6.psycho
1682,near,psycho,0,m6.psycho
1685,near,psycho,0,m7.psycho
1686,near,psycho,0,m5.psycho
1693,near,psycho,0,m6.psycho
1694,near,psycho,0,m5.psycho
1695,near,psycho,0,m5.psycho
1696,near,psycho,1,m6.psycho
1697,near,psycho,0,m5.psycho
1699,near,psycho,1,m10.psycho
1701,near,psycho,0,m10.psycho
1702,near,psycho,0,m13.psycho
1703,near,psycho,0,m12.psycho
1704,near,psycho,0,m12.psycho
1713,near,psycho,0,m11.psycho
1716,near,psycho,0,m9.psycho
1717,near,psycho,1,m11.psycho
1720,near,psycho,1,m11.psycho
1721,near,psycho,1,m12.psycho
1722,near,psycho,1,m9.psycho
1723,near,psycho,0,m12.psycho
1724,near,psycho,0,m12.psycho
1725,near,psycho,0,m9.psycho
1726,near,psycho,0,m9.psycho
1727,near,psycho,0,r1.psycho
1728,near,psycho,0,m12.psycho
1826,far,psycho,0,m12.psycho
1827,far,psycho,0,m12.psycho
1828,far,psycho,0,m8.psycho
1829,far,psycho,0,m8.psycho
1830,far,psycho,0,r1.psycho
1831,far,psycho,0,m8.psycho
1834,far,psycho,0,m8.psycho
1835,far,psycho,0,m8.psycho
1837,far,psycho,0,m11.psycho
1839,far,psycho,0,m12.psycho
1841,far,psycho,0,r1.psycho
1842,far,psycho,0,m13.psycho
1843,far,psycho,0,m12.psycho
1844,far,psycho,0,m8.psycho
1845,far,psycho,0,r1.psycho
1846,far,psycho,0,m12.psycho
1847,far,psycho,0,r1.psycho
1848,far,psycho,0,r1.psycho
