"","Scientific","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.Source","Diet.Certainty","BodyMass.Value","taxon"
"3380","Crocidura lepidura",50,0,10,0,0,40,0,0,0,0,"Ref_2","D1",10.42,"mammal"
"3381","Crocidura leucodon",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",9.82,"mammal"
"3382","Crocidura levicula",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",1.77,"mammal"
"3383","Crocidura littoralis",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",16,"mammal"
"3384","Crocidura longipes",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",19.3,"mammal"
"3385","Crocidura ludia",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",5.15,"mammal"
"3386","Crocidura kivuana",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",9,"mammal"
"3387","Crocidura gmelini",50,0,10,0,0,40,0,0,0,0,"Ref_2","D1",10.42,"mammal"
"3388","Crocidura foxi",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",19,"mammal"
"3389","Crocidura fuliginosa",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",12,"mammal"
"3390","Crocidura fulvastra",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",12.67,"mammal"
"3391","Crocidura fumosa",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",14.5,"mammal"
"3392","Crocidura fuscomurina",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",3.92,"mammal"
"3393","Crocidura hirta",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",15.8,"mammal"
"3394","Crocidura glassi",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3395","Crocidura hilliana",50,0,10,0,0,40,0,0,0,0,"Ref_2","D1",10.42,"mammal"
"3396","Crocidura goliath",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",54.84,"mammal"
"3397","Crocidura gracilipes",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",6.7,"mammal"
"3398","Crocidura grandiceps",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",23,"mammal"
"3399","Crocidura grandis",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3400","Crocidura grassei",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",13.5,"mammal"
"3401","Crocidura grayi",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.3,"mammal"
"3402","Crocidura greenwoodi",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3403","Crocidura harenna",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",8.5,"mammal"
"3404","Crocidura foetida",50,0,10,0,0,40,0,0,0,0,"Ref_2","D1",10.42,"mammal"
"3405","Solisorex pearsoni",70,0,10,0,0,20,0,0,0,0,"Ref_3","D2",10.3,"mammal"
"3406","Suncus lixus",80,0,0,0,10,10,0,0,0,0,"Ref_1","ABC",4.9,"mammal"
